"","X","police_department","driver_race","num_stops","num_searches","num_hits","search_rate","hit_rate","thresholds","total_stops"
"282",739,"Palo Pinto County","White",81728,2424,820,0.0296593578700078,0.338283828382838,0.198264532985933,105657
"283",744,"Parker County","Asian",2124,29,11,0.013653483992467,0.379310344827586,0.207244937073523,286935
"284",745,"Parker County","Black",11017,381,144,0.0345829173096124,0.377952755905512,0.249192381677679,286935
"285",746,"Parker County","Hispanic",30028,820,271,0.0273078460103903,0.330487804878049,0.173393467726539,286935
"286",748,"Parker County","White",243766,4418,1558,0.0181239385312144,0.352648257129923,0.238469308782525,286935
"287",752,"Pecos County","Asian",2331,29,5,0.0124410124410124,0.172413793103448,0.162520768861814,143827
"288",753,"Pecos County","Black",8657,329,117,0.0380039274575488,0.355623100303951,0.19658999809421,143827
"289",754,"Pecos County","Hispanic",54245,914,185,0.0168494792146742,0.202407002188184,0.169899103640585,143827
"290",756,"Pecos County","White",78594,1026,339,0.0130544316360027,0.330409356725146,0.211911485115788,143827
"291",757,"Polk County","Black",15688,393,115,0.025050994390617,0.292620865139949,0.21082327993256,87680
"292",758,"Polk County","Hispanic",9684,254,34,0.0262288310615448,0.133858267716535,0.12642384757424,87680
"293",760,"Polk County","White",62308,944,262,0.015150542466457,0.277542372881356,0.183806968873665,87680
"294",761,"Potter County","Asian",2461,49,16,0.0199106054449411,0.326530612244898,0.178169101675498,105908
"295",762,"Potter County","Black",7091,348,149,0.049076293893668,0.42816091954023,0.216848026154931,105908
"296",763,"Potter County","Hispanic",21940,641,183,0.0292160437556974,0.285491419656786,0.164875419212749,105908
"297",765,"Potter County","White",74416,1150,381,0.0154536658783057,0.331304347826087,0.249113370842252,105908
"298",772,"Randall County","Asian",1024,4,1,0.00390625,0.25,0.221190136433786,143826
"299",773,"Randall County","Black",4335,89,27,0.0205305651672434,0.303370786516854,0.257782929059776,143826
"300",774,"Randall County","Hispanic",25632,450,136,0.0175561797752809,0.302222222222222,0.182463107129122,143826
"301",776,"Randall County","White",112835,1254,434,0.0111135729162051,0.346092503987241,0.244042859280308,143826
"302",792,"Refugio County","Asian",1252,7,3,0.00559105431309904,0.428571428571429,0.141608631329761,84211
"303",793,"Refugio County","Black",5319,166,40,0.0312088738484678,0.240963855421687,0.159183017820206,84211
"304",794,"Refugio County","Hispanic",38454,1281,159,0.0333125292557341,0.124121779859485,0.0922735175934041,84211
"305",795,"Refugio County","White",39186,629,130,0.0160516510998826,0.206677265500795,0.141189622555744,84211
