,police_department,driver_race,num_stops,num_searches,num_hits,search_rate,hit_rate
911,Travis County,White,205757,3458,1204,0.01680623259475984,0.3481781376518219
920,Upshur County,Asian,374,2,1,0.0053475935828877,0.5
921,Upshur County,Black,11200,284,131,0.025357142857142856,0.4612676056338028
922,Upshur County,Hispanic,6866,176,78,0.025633556655986017,0.4431818181818182
923,Upshur County,White,77742,1378,565,0.01772529649352988,0.41001451378809867
933,Van Zandt County,Asian,2016,36,11,0.017857142857142856,0.3055555555555556
934,Van Zandt County,Black,29525,1801,699,0.060999153259949195,0.38811771238201
935,Van Zandt County,Hispanic,13818,767,204,0.055507309306701405,0.26597131681877445
937,Van Zandt County,White,110764,2806,1036,0.02533314073164566,0.3692088382038489
938,Victoria County,Asian,1390,12,3,0.008633093525179856,0.25
939,Victoria County,Black,8312,169,34,0.020332050048123194,0.20118343195266272
940,Victoria County,Hispanic,57217,1803,259,0.03151161368124858,0.14364947310038825
942,Victoria County,White,61235,785,187,0.01281946599167143,0.23821656050955414
943,Walker County,Asian,3168,26,8,0.008207070707070708,0.3076923076923077
944,Walker County,Black,32326,1195,420,0.03696714718802203,0.3514644351464435
945,Walker County,Hispanic,21703,731,201,0.03368197944984564,0.2749658002735978
946,Walker County,White,94835,1857,677,0.019581378183160227,0.36456650511577815
947,Waller County,Asian,2814,37,17,0.013148542999289269,0.4594594594594595
948,Waller County,Black,21681,1120,459,0.051658133849914675,0.40982142857142856
949,Waller County,Hispanic,22024,1035,319,0.04699418815837268,0.30821256038647343
951,Waller County,White,54633,1586,629,0.029030073398861492,0.39659520807061793
961,Webb County,Asian,769,15,1,0.01950585175552666,0.06666666666666667
962,Webb County,Black,2558,61,9,0.023846755277560593,0.14754098360655737
963,Webb County,Hispanic,209478,4729,384,0.0225751630242794,0.08120109959822372
964,Webb County,White,45423,776,72,0.01708385619620016,0.09278350515463918
965,Wharton County,Asian,1991,18,6,0.009040683073832245,0.3333333333333333
966,Wharton County,Black,11693,423,172,0.03617548960916788,0.4066193853427896
967,Wharton County,Hispanic,45224,2158,445,0.04771802582699452,0.206209453197405
969,Wharton County,White,44616,1037,290,0.023242782858167475,0.2796528447444552
974,Wichita County,Asian,1329,26,8,0.019563581640331076,0.3076923076923077
975,Wichita County,Black,8562,354,169,0.04134548002803083,0.4774011299435028
976,Wichita County,Hispanic,10491,422,147,0.040224954723095986,0.34834123222748814
978,Wichita County,White,83554,1723,667,0.02062139454723891,0.3871154962275102
984,Willacy County,Black,2046,70,4,0.03421309872922776,0.05714285714285714
985,Willacy County,Hispanic,82656,3257,176,0.03940427797135114,0.054037457783236105
986,Willacy County,White,27001,595,39,0.022036220880708123,0.06554621848739496
987,Williamson County,Asian,9038,81,30,0.00896215976986059,0.37037037037037035
